gadm_name,year,dengue_total,n_months,source
Bắc Kạn,2005,0,12,OpenDengue
Bắc Kạn,2006,0,12,OpenDengue
Bắc Kạn,2007,0,12,OpenDengue
Bắc Kạn,2008,0,12,OpenDengue
Bắc Kạn,2009,2,12,OpenDengue
Bắc Kạn,2010,0,12,OpenDengue
Bắc Kạn,2011,0,12,GDPM
Bắc Kạn,2012,0,12,GDPM
Bắc Kạn,2013,0,12,GDPM
Bắc Kạn,2014,0,12,GDPM
Bắc Kạn,2015,0,12,GDPM
Bắc Kạn,2016,0,12,GDPM
Bắc Kạn,2017,61,12,GDPM
Bắc Ninh,1997,1,12,OpenDengue
Bắc Ninh,1998,169,12,OpenDengue
Bắc Ninh,1999,9,12,OpenDengue
Bắc Ninh,2000,1,12,OpenDengue
Bắc Ninh,2001,5,12,OpenDengue
Bắc Ninh,2002,6,12,OpenDengue
Bắc Ninh,2003,8,12,OpenDengue
Bắc Ninh,2004,2,12,OpenDengue
Bắc Ninh,2005,3,12,OpenDengue
Bắc Ninh,2006,6,12,OpenDengue
Bắc Ninh,2007,95,12,OpenDengue
Bắc Ninh,2008,0,12,OpenDengue
Bắc Ninh,2009,181,12,OpenDengue
Bắc Ninh,2010,933,12,OpenDengue
Bắc Ninh,2011,41,12,GDPM
Bắc Ninh,2012,35,12,GDPM
Bắc Ninh,2013,18,12,GDPM
Bắc Ninh,2014,6,12,GDPM
Bắc Ninh,2015,151,12,GDPM
Bắc Ninh,2016,1,12,GDPM
Bắc Ninh,2017,1413,12,GDPM
Bến Tre,1994,2010,9,OpenDengue
Bến Tre,1995,7738,12,OpenDengue
Bến Tre,1996,3448,12,OpenDengue
Bến Tre,1997,5080,12,OpenDengue
Bến Tre,1998,24562,12,OpenDengue
Bến Tre,1999,1375,12,OpenDengue
Bến Tre,2000,1285,12,OpenDengue
Bến Tre,2001,3663,12,OpenDengue
Bến Tre,2002,2959,12,OpenDengue
Bến Tre,2003,2259,12,OpenDengue
Bến Tre,2004,5768,12,OpenDengue
Bến Tre,2005,3347,12,OpenDengue
Bến Tre,2006,2644,12,OpenDengue
Bến Tre,2007,6450,12,OpenDengue
Bến Tre,2008,4680,12,OpenDengue
Bến Tre,2009,4760,12,OpenDengue
Bến Tre,2010,504,12,OpenDengue
Bến Tre,2011,1932,12,GDPM
Bến Tre,2012,2191,12,GDPM
Bến Tre,2013,1169,12,GDPM
Bến Tre,2014,694,12,GDPM
Bến Tre,2015,1060,12,GDPM
Bến Tre,2016,3233,12,GDPM
Bến Tre,2017,1329,12,GDPM
Cao Bằng,1994,0,8,OpenDengue
Cao Bằng,1995,3,12,OpenDengue
Cao Bằng,1996,0,12,OpenDengue
Cao Bằng,1997,0,12,OpenDengue
Cao Bằng,1998,6,12,OpenDengue
Cao Bằng,1999,26,12,OpenDengue
Cao Bằng,2000,0,12,OpenDengue
Cao Bằng,2001,0,12,OpenDengue
Cao Bằng,2002,4,12,OpenDengue
Cao Bằng,2003,0,12,OpenDengue
Cao Bằng,2004,0,12,OpenDengue
Cao Bằng,2005,0,12,OpenDengue
Cao Bằng,2006,0,12,OpenDengue
Cao Bằng,2007,0,12,OpenDengue
Cao Bằng,2008,0,12,OpenDengue
Cao Bằng,2009,0,12,OpenDengue
Cao Bằng,2010,0,12,OpenDengue
Cao Bằng,2011,0,12,GDPM
Cao Bằng,2012,0,12,GDPM
Cao Bằng,2013,1,12,GDPM
Cao Bằng,2014,0,12,GDPM
Cao Bằng,2015,0,12,GDPM
Cao Bằng,2016,0,12,GDPM
Cao Bằng,2017,41,12,GDPM
Cà Mau,1994,5068,11,OpenDengue
Cà Mau,1995,6808,12,OpenDengue
Cà Mau,1996,6612,11,OpenDengue
Cà Mau,1997,8446,12,OpenDengue
Cà Mau,1998,3312,12,OpenDengue
Cà Mau,1999,1674,12,OpenDengue
Cà Mau,2000,1022,12,OpenDengue
Cà Mau,2001,749,12,OpenDengue
Cà Mau,2002,245,12,OpenDengue
Cà Mau,2003,950,12,OpenDengue
Cà Mau,2004,4222,12,OpenDengue
Cà Mau,2005,1393,12,OpenDengue
Cà Mau,2006,2725,12,OpenDengue
Cà Mau,2007,1578,12,OpenDengue
Cà Mau,2008,8284,12,OpenDengue
Cà Mau,2009,924,12,OpenDengue
Cà Mau,2010,14012,12,OpenDengue
Cà Mau,2011,8348,12,GDPM
Cà Mau,2012,1945,12,GDPM
Cà Mau,2013,448,12,GDPM
Cà Mau,2014,454,12,GDPM
Cà Mau,2015,1291,12,GDPM
Cà Mau,2016,2006,12,GDPM
Cà Mau,2017,2318,12,GDPM
Cần Thơ,1994,1030,11,OpenDengue
Cần Thơ,1995,604,12,OpenDengue
Cần Thơ,1996,1498,12,OpenDengue
Cần Thơ,1997,5945,12,OpenDengue
Cần Thơ,1998,3491,12,OpenDengue
Cần Thơ,1999,1847,12,OpenDengue
Cần Thơ,2000,600,12,OpenDengue
Cần Thơ,2001,555,12,OpenDengue
Cần Thơ,2002,282,12,OpenDengue
Cần Thơ,2003,1375,12,OpenDengue
Cần Thơ,2004,2477,12,OpenDengue
Cần Thơ,2005,1642,12,OpenDengue
Cần Thơ,2006,1464,12,OpenDengue
Cần Thơ,2007,1611,12,OpenDengue
Cần Thơ,2008,1263,12,OpenDengue
Cần Thơ,2009,1357,12,OpenDengue
Cần Thơ,2010,1819,12,OpenDengue
Cần Thơ,2011,776,12,GDPM
Cần Thơ,2012,1044,12,GDPM
Cần Thơ,2013,613,12,GDPM
Cần Thơ,2014,540,12,GDPM
Cần Thơ,2015,706,12,GDPM
Cần Thơ,2016,826,12,GDPM
Cần Thơ,2017,1212,12,GDPM
