gadm_name,year,observed,population,expected,sir_raw,province_id,time_id
Lai Châu,2002,0,515968,211.63175191183652,0,29,9
Lai Châu,2003,2,492029,314.0373662869681,0.006368668874175932,29,10
Lai Châu,2004,0,469201,458.59484327481823,0,29,11
Lai Châu,2005,1,447433,313.4083962262449,0.0031907249838900764,29,12
Lai Châu,2006,0,426674,355.7538245154635,0,29,13
Lai Châu,2007,0,406879,509.082187695313,0,29,14
Lai Châu,2008,0,388001,442.0242390861582,0,29,15
Lai Châu,2009,0,370000,454.35041021816147,0,29,16
Lai Châu,2010,0,352834,521.9893458839011,0,29,17
Lâm Đồng,1994,118,986138,659.0422036467507,0.17904771401142083,32,1
Lâm Đồng,1995,59,998402,1227.5934367537643,0.04806151469497833,32,2
Lâm Đồng,1996,114,1010818,1376.70383619771,0.08280648096024361,32,3
Lâm Đồng,1997,347,1023388,1500.6774285048634,0.2312289059653005,32,4
Lâm Đồng,1998,1344,1036115,3296.7516482293026,0.4076740207961577,32,5
Lâm Đồng,1999,218,1049000,504.4042684398209,0.4321930119154196,32,6
Lâm Đồng,2000,296,1062045,355.993677165433,0.8314754418024299,32,7
Lâm Đồng,2001,184,1075253,592.7820530790951,0.3104007603540737,32,8
Lâm Đồng,2002,191,1088624,446.5149084696553,0.42775727389398055,32,9
Lâm Đồng,2003,99,1102162,703.4545762578575,0.14073403364101603,32,10
Lâm Đồng,2004,55,1115869,1090.645094895851,0.05042887026897794,32,11
Lâm Đồng,2005,50,1129746,791.3405627278615,0.06318392150611238,32,12
Lâm Đồng,2006,60,1143795,953.6776220525849,0.06291434192496094,32,13
Lâm Đồng,2007,57,1158019,1448.8996628303223,0.039340198263732466,32,14
Lâm Đồng,2008,195,1172420,1335.6616565147863,0.1459950572428829,32,15
Lâm Đồng,2009,273,1187000,1457.6052349431288,0.1872935095562082,32,16
Lâm Đồng,2010,4409,1201761,1777.9081332830253,2.479880662820575,32,17
Lạng Sơn,1994,6,709616,474.24081861057243,0.012651800023411649,33,1
Lạng Sơn,1995,4,711086,874.3216726003026,0.004574975235491624,33,2
Lạng Sơn,1996,2,712560,970.4853747371338,0.0020608244617202204,33,3
Lạng Sơn,1997,6,714037,1047.0507852518567,0.005730381070825294,33,4
Lạng Sơn,1998,1,715517,2276.6602636638654,4.3923988834007415e-4,33,5
Lạng Sơn,1999,19,717000,344.76440464380516,0.0551100976321205,33,6
Lạng Sơn,2000,13,718486,240.83393183140382,0.05397910461014551,33,7
Lạng Sơn,2001,8,719975,396.91891923633,0.020155249881744008,33,8
Lạng Sơn,2002,1,721467,295.9201445759756,0.003379290049458787,33,9
Lạng Sơn,2003,0,722963,461.43092468721426,0,33,10
Lạng Sơn,2004,5,724461,708.0847627215587,0.0070613015040491105,33,11
Lạng Sơn,2005,0,725963,508.5071944840757,0,33,12
Lạng Sơn,2006,0,727467,606.5501236512905,0,33,13
Lạng Sơn,2007,0,728975,912.0848895499419,0,33,14
Lạng Sơn,2008,0,730486,832.195067314495,0,33,15
Lạng Sơn,2009,0,732000,898.8770277829573,0,33,16
Lạng Sơn,2010,0,733517,1085.179033269814,0,33,17
Lào Cai,1994,1,590157,394.4056204887708,0.002535460825230484,31,1
Lào Cai,1995,1,591717,727.550531364748,0.0013744749771870662,31,2
Lào Cai,1996,2,593282,808.0323117980188,0.0024751485439358685,31,3
Lào Cai,1997,1,594850,872.2771503536469,0.0011464246192790565,31,4
Lào Cai,1998,3,596423,1897.7222685627225,0.0015808424919164328,31,5
Lào Cai,1999,2,598000,287.5440920181248,0.006955455025916282,31,6
Lào Cai,2000,0,599581,200.97740203901668,0,31,7
Lào Cai,2001,3,601166,331.4200618099622,0.00905195655210581,31,8
Lào Cai,2002,0,602756,247.22910772639182,0,31,9
Lào Cai,2003,0,604349,385.72557365147765,0,31,10
Lào Cai,2004,1,605947,592.2497383804516,0.0016884768961394057,31,11
Lào Cai,2005,1,607549,425.5630624447881,0.0023498280002384802,31,12
Lào Cai,2006,0,609156,507.9043408469738,0,31,13
Lào Cai,2007,0,610766,764.1831882449463,0,31,14
Lào Cai,2008,0,612381,697.6457420362851,0,31,15
Lào Cai,2009,0,614000,753.9760861458138,0,31,16
Lào Cai,2010,0,615623,910.7644021865378,0,31,17
Long An,1994,599,1333753,891.3554859872196,0.6720102242222454,30,1
Long An,1995,1784,1340337,1648.0224441039084,1.0825095291526978,30,2
Long An,1996,4671,1346954,1834.5109989947252,2.5461826080953522,30,3
Long An,1997,2163,1353603,1984.8986594101832,1.0897281781845427,30,4
Long An,1998,4228,1360285,4328.208563539372,0.9768475658997756,30,5
Long An,1999,290,1367000,657.3123307504625,0.441190567152305,30,6
Long An,2000,1640,1373748,460.47540548532237,3.561536578205532,30,7
Long An,2001,650,1380530,761.0798646804828,0.8540496604425128,30,8
Long An,2002,706,1387344,569.0392451167029,1.2406877136483059,30,9
Long An,2003,1005,1394193,889.8432771558728,1.129412364851699,30,10
Long An,2004,2123,1401075,1369.404093429609,1.5503093719276426,30,11
Long An,2005,1411,1407992,986.2404306776277,1.4306856179385465,30,12
Long An,2006,2272,1414942,1179.7555697501114,1.9258226519593726,30,13
Long An,2007,5967,1421927,1779.0982279818652,3.353946345485778,30,14
Long An,2008,3787,1428946,1627.9050011345576,2.326302823174986,30,15
Long An,2009,5950,1436000,1763.3707812791347,3.3742194569447945,30,16
Long An,2010,2879,1443089,2134.933377061885,1.348519832484003,30,17
Nam Định,1994,36,1919785,1283.0043431324798,0.02805914118116335,34,1
Nam Định,1995,298,1913385,2352.618352109773,0.1266673788091301,34,2
Nam Định,1996,641,1907007,2597.2864081920643,0.2467960398892594,34,3
Nam Định,1997,0,1900650,2787.0783656714448,0,34,4
Nam Định,1998,781,1894315,6027.406319294182,0.1295748052524616,34,5
Nam Định,1999,85,1888000,907.8315145990294,0.09362970841295673,34,6
Nam Định,2000,0,1881706,630.7411063413115,0,34,7
Nam Định,2001,1,1875434,1033.9181726852562,9.671945289469426e-4,34,8
Nam Định,2002,4,1869182,766.6720829626458,0.005217354445127083,34,9
Nam Định,2003,83,1862951,1189.0279344544194,0.06980492013258226,34,10
Nam Định,2004,136,1856741,1814.7698915751016,0.07494063056223668,34,11
Nam Định,2005,50,1850552,1296.2354910193706,0.038573237923519264,34,12
Nam Định,2006,37,1844383,1537.816473751164,0.024060088203988778,34,13
Nam Định,2007,19,1838235,2299.9778688457595,0.008260949054059864,34,14
Nam Định,2008,8,1832107,2087.200039689135,0.003832886090396736,34,15
Nam Định,2009,86,1826000,2242.28067313071,0.038353806921024455,34,16
Nam Định,2010,265,1819913,2692.413986281391,0.09842468556108006,34,17
Nghệ An,1994,78,2848739,1903.830121316125,0.04097004198361895,35,1
Nghệ An,1995,49,2852978,3507.9026965119074,0.013968460427572089,35,2
Nghệ An,1996,198,2857224,3891.4534977376397,0.05088073135529193,35,3
Nghệ An,1997,867,2861476,4196.016022670173,0.20662456847537886,35,4
Nghệ An,1998,8073,2865735,9118.30886015394,0.8853615427832423,35,5
Nghệ An,1999,67,2870000,1380.0193045017027,0.04855004548229299,35,6
Nghệ An,2000,5,2874271,963.445336553504,0.005189708030438248,35,7
Nghệ An,2001,787,2878549,1586.93087683436,0.49592582228277177,35,8
Nghệ An,2002,499,2882833,1182.4357290747787,0.42201025199944936,35,9
Nghệ An,2003,450,2887123,1842.7054158729065,0.2442061526078659,35,10
Nghệ An,2004,454,2891420,2826.060263600621,0.1606476711935253,35,11
Nghệ An,2005,46,2895723,2028.33474809737,0.022678702340996316,35,12
Nghệ An,2006,1410,2900033,2418.000231959419,0.5831264949289979,35,13
